locus_tag,gene_name,accession,old_locus_tag,start,stop,strand,gene_product,COG,uniprot,operon
Rv0593,lprL,NC_000962.3,,692024,693232,+,Mce family lipoprotein LprL,"Secondary metabolites biosynthesis, transport, and catabolism",I6Y461,Op389
Rv0594,mce2F,NC_000962.3,,693237,694787,+,Mce family protein Mce2F,"Secondary metabolites biosynthesis, transport, and catabolism",O07784,Op389
Rv0595c,vapC4,NC_000962.3,,694839,695231,-,ribonuclease VapC4,Function unknown,O07783,Op390
Rv0596c,vapB4,NC_000962.3,,695228,695485,-,antitoxin VapB4,"Cell cycle control, cell division, chromosome partitioning",P9WF21,Op390
Rv0597c,Rv0597c,NC_000962.3,,695668,696903,-,hypothetical protein,Function unknown,I6WYU2,Op391
Rv0598c,vapC27,NC_000962.3,,697154,697567,-,ribonuclease VapC27,Function unknown,P9WF83,Op392
Rv0599c,vapB27,NC_000962.3,,697564,697800,-,antitoxin VapB27,Transcription,O07779,Op392
Rv0600c,Rv0600c,NC_000962.3,,697904,698410,-,two component sensor kinase HK1,Signal transduction mechanisms,O07778,Op393
Rv0601c,Rv0601c,NC_000962.3,,698524,698994,-,two component sensor kinase HK2,Signal transduction mechanisms,O07777,Op394
Rv0602c,tcrA,NC_000962.3,,699038,699799,-,two component DNA binding transcriptional regulator TcrA,Signal transduction mechanisms,O07776,Op395
Rv0603,Rv0603,NC_000962.3,,699856,700167,+,hypothetical protein,No COG annotation,O07775,Op396
Rv0604,lpqO,NC_000962.3,,700239,701189,+,lipoprotein LpqO,Cell wall/membrane/envelope biogenesis,I6X9E2,Op397
Rv0605,Rv0605,NC_000962.3,,701430,702014,+,IS1536 family serine type transposase,"Replication, recombination and repair",UPI00005EE413,Op398
Rv0607,Rv0607,NC_000962.3,,702813,703199,+,hypothetical protein,No COG annotation,O07771,Op399
Rv0608,vapB28,NC_000962.3,,703244,703489,+,antitoxin VapB28,Function unknown,P9WJ39,Op400
Rv0609,vapC28,NC_000962.3,,703486,703887,+,ribonuclease VapC28,Function unknown,P9WF81,Op400
Rv0609A,Rv0609A,NC_000962.3,,703830,704057,+,hypothetical protein,No COG annotation,Q79FY5,Op400
Rv0610c,Rv0610c,NC_000962.3,,704752,705909,-,hypothetical protein,No COG annotation,I6Y481,Op401
Rv0611c,Rv0611c,NC_000962.3,,705961,706182,-,hypothetical protein,Function unknown,UPI00005EE416,Op402
Rv0612,Rv0612,NC_000962.3,,706324,706929,+,hypothetical protein,No COG annotation,I6X9E8,Op403
Rv0613c,Rv0613c,NC_000962.3,,706948,709515,-,hypothetical protein,Function unknown,I6Y897,Op404
Rv0614,Rv0614,NC_000962.3,,709599,710348,+,hypothetical protein,No COG annotation,UPI00005EE419,Op405
Rv0615,Rv0615,NC_000962.3,,710345,710587,+,integral membrane protein,No COG annotation,O07762,Op405
Rv0616A,vapB29,NC_000962.3,,710782,711009,+,antitoxin VapB29,No COG annotation,P9WJ37,Op406
Rv0617,vapC29,NC_000962.3,,711006,711407,+,ribonuclease VapC29,Function unknown,P9WF79,Op406
Rv0620,galK,NC_000962.3,,712716,713807,+,galactokinase,Carbohydrate transport and metabolism,P9WN63,Op407
Rv0621,Rv0621,NC_000962.3,,714202,715266,+,membrane protein,Function unknown,I6X9F4,Op408
Rv0622,Rv0622,NC_000962.3,,715370,716317,+,membrane protein,Function unknown,P96912,Op409
Rv0623,vapB30,NC_000962.3,,716410,716664,+,antitoxin VapB30,Transcription,P9WJ35,Op410
Rv0624,vapC30,NC_000962.3,,716664,717059,+,ribonuclease VapC30,Function unknown,P9WF77,Op410
Rv0625c,Rv0625c,NC_000962.3,,717153,717893,-,transmembrane protein,Function unknown,P9WFS5,Op411
Rv0626,vapB5,NC_000962.3,,718025,718285,+,antitoxin VapB5,"Cell cycle control, cell division, chromosome partitioning",P9WF19,Op412
Rv0627,vapC5,NC_000962.3,,718282,718689,+,ribonuclease VapC5,Function unknown,P96917,Op412
Rv0628c,Rv0628c,NC_000962.3,,718761,719912,-,hypothetical protein,Function unknown,P9WKS7,Op413
Rv0629c,recD,NC_000962.3,,720005,721732,-,exonuclease V subunit alpha RecD,"Replication, recombination and repair",P9WHJ1,Op414
Rv0630c,recB,NC_000962.3,,721729,725013,-,exonuclease V subunit beta RecB,"Replication, recombination and repair",P9WMQ3,Op414
Rv0631c,recC,NC_000962.3,,725013,728306,-,exonuclease V subunit gamma RecC,"Replication, recombination and repair",P9WIQ5,Op414
Rv0632c,echA3,NC_000962.3,,728583,729278,-,enoyl-CoA hydratase EchA3,Lipid transport and metabolism,I6Y8B5,Op415
Rv0633c,Rv0633c,NC_000962.3,,729327,730166,-,hypothetical protein,No COG annotation,P96923,Op416
Rv0634c,Rv0634c,NC_000962.3,,730320,731033,-,glyoxalase II,Function unknown,I6Y4A5,Op417
Rv0634A,Rv0634A,NC_000962.3,,731113,731364,+,hypothetical protein,Transcription,P9WKS5,Op418
Rv0634B,rpmG2,NC_000962.3,,731712,731879,+,50S ribosomal protein L33,"Translation, ribosomal structure and biogenesis",P9WH95,Op419
Rv0635,hadA,NC_000962.3,,731930,732406,+,(3R)-hydroxyacyl-ACP dehydratase subunit HadA,Lipid transport and metabolism,P9WFK1,Op420
Rv0636,hadB,NC_000962.3,,732393,732821,+,(3R)-hydroxyacyl-ACP dehydratase subunit HadB,Lipid transport and metabolism,I6WYY7,Op420
Rv0637,hadC,NC_000962.3,,732825,733325,+,(3R)-hydroxyacyl-ACP dehydratase subunit HadC,Lipid transport and metabolism,P9WFJ9,Op420
Rv0638,secE1,NC_000962.3,,733737,734222,+,preprotein translocase SecE,"Intracellular trafficking, secretion, and vesicular transport",P9WGN7,Op421
Rv0639,nusG,NC_000962.3,,734254,734970,+,transcription termination/antitermination protein NusG,Transcription,P9WIU9,Op421
Rv0640,rplK,NC_000962.3,,735022,735450,+,50S ribosomal protein L11,"Translation, ribosomal structure and biogenesis",P9WHE5,Op422
Rv0641,rplA,NC_000962.3,,735517,736224,+,50S ribosomal protein L1,"Translation, ribosomal structure and biogenesis",P9WHC7,Op423
Rv0642c,mmaA4,NC_000962.3,,736298,737203,-,hydroxymycolate synthase MmaA4,Cell wall/membrane/envelope biogenesis,Q79FX8,Op424
Rv0643c,mmaA3,NC_000962.3,,737268,738149,-,methoxy mycolic acid synthase MmaA3,Cell wall/membrane/envelope biogenesis,P0CH91,Op424
Rv0644c,mmaA2,NC_000962.3,,738297,739160,-,cyclopropane mycolic acid synthase CmaA,Cell wall/membrane/envelope biogenesis,Q79FX6,Op424
Rv0645c,mmaA1,NC_000962.3,,739327,740187,-,mycolic acid methyltransferase MmaA1,Cell wall/membrane/envelope biogenesis,P9WPB1,Op424
Rv0646c,lipG,NC_000962.3,,740234,741139,-,lipase/esterase LipG,Lipid transport and metabolism,P96935,Op425
Rv0647c,Rv0647c,NC_000962.3,,741151,742617,-,hypothetical protein,Function unknown,P9WQI1,Op425
Rv0648,Rv0648,NC_000962.3,,742719,746366,+,alpha-mannosidase,Carbohydrate transport and metabolism,P96937,Op426
Rv0649,fabD2,NC_000962.3,,746363,747037,+,malonyl CoA-acyl carrier protein transacylase,No COG annotation,Q79FX5,Op426
Rv0650,Rv0650,NC_000962.3,,747037,747945,+,sugar kinase,Carbohydrate transport and metabolism,I6Y8D3,Op426
Rv0651,rplJ,NC_000962.3,,748276,748812,+,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",P9WHE7,Op427
Rv0652,rplL,NC_000962.3,,748849,749241,+,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",P9WHE3,Op427
Rv0653c,Rv0653c,NC_000962.3,,749234,749929,-,transcriptional regulator,Transcription,P96941,Op428
Rv0654,Rv0654,NC_000962.3,,750000,751505,+,carotenoid cleavage oxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WPR5,Op429
Rv0655,mkl,NC_000962.3,,751517,752596,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,P9WQL5,Op429
Rv0656c,vapC6,NC_000962.3,,752984,753367,-,ribonuclease VapC6,Function unknown,P9WFB5,Op430
Rv0657c,vapB6,NC_000962.3,,753462,753617,-,antitoxin VapB6,Transcription,P9WJ57,Op431
Rv0658c,Rv0658c,NC_000962.3,,753693,754409,-,integral membrane protein,Function unknown,O06781,Op432
Rv0659c,mazF2,NC_000962.3,,754685,754993,-,toxin MazF2,Signal transduction mechanisms,P9WII1,Op433
Rv0660c,mazE2,NC_000962.3,,754980,755225,-,antitoxin MazE2,No COG annotation,O06779,Op433
Rv0661c,vapC7,NC_000962.3,,755335,755772,-,ribonuclease VapC7,Function unknown,P9WFB3,Op434
Rv0662c,vapB7,NC_000962.3,,755769,756023,-,antitoxin VapB7,No COG annotation,O06777,Op434
Rv0663,atsD,NC_000962.3,,756137,758500,+,arylsulfatase AtsD,Inorganic ion transport and metabolism,I6XVW9,Op435
Rv0664,vapB8,NC_000962.3,,758532,758804,+,antitoxin VapB8,No COG annotation,O06775,Op435
Rv0665,vapC8,NC_000962.3,,758801,759139,+,ribonuclease VapC8,Function unknown,P9WFB1,Op435
Rv0666,Rv0666,NC_000962.3,,759136,759309,+,membrane protein,No COG annotation,O06773,Op435
Rv0667,rpoB,NC_000962.3,,759807,763325,+,DNA-directed RNA polymerase subunit beta,Transcription,P9WGY9,Op436
Rv0668,rpoC,NC_000962.3,,763370,767320,+,DNA-directed RNA polymerase subunit beta',Transcription,P9WGY7,Op437
Rv0669c,Rv0669c,NC_000962.3,,767684,769597,-,neutral ceramidase,Function unknown,O06769,Op438
Rv0670,end,NC_000962.3,,769792,770550,+,endonuclease IV,"Replication, recombination and repair",P9WQ13,Op439
Rv0671,lpqP,NC_000962.3,,770582,771424,+,lipoprotein LpqP,"Secondary metabolites biosynthesis, transport, and catabolism",I6XVY0,Op439
Rv0672,fadE8,NC_000962.3,,771484,773112,+,acyl-CoA dehydrogenase FadE8,Lipid transport and metabolism,I6X9J0,Op440
Rv0673,echA4,NC_000962.3,,773123,774061,+,enoyl-CoA hydratase EchA4,Lipid transport and metabolism,I6Y8F2,Op440
Rv0674,Rv0674,NC_000962.3,,774064,774786,+,hypothetical protein,Transcription,I6WZ26,Op440
Rv0675,echA5,NC_000962.3,,774783,775574,+,enoyl-CoA hydratase EchA5,Lipid transport and metabolism,I6Y4E8,Op440
Rv0676c,mmpL5,NC_000962.3,,775586,778480,-,transmembrane transport protein MmpL5,Function unknown,P9WJV1,Op441
Rv0677c,mmpS5,NC_000962.3,,778477,778905,-,membrane protein MmpS5,Function unknown,P9WJS7,Op441
Rv0678,Rv0678,NC_000962.3,,778990,779487,+,hypothetical protein,Transcription,I6Y8F7,Op442
Rv0679c,Rv0679c,NC_000962.3,,779543,780040,-,hypothetical protein,Function unknown,I6WZ30,Op443
Rv0680c,Rv0680c,NC_000962.3,,780042,780416,-,transmembrane protein,Function unknown,I6Y4F1,Op443
Rv0681,Rv0681,NC_000962.3,,780721,781311,+,transcriptional regulator,Transcription,O53789,Op444
Rv0682,rpsL,NC_000962.3,,781560,781934,+,30S ribosomal protein S12,"Translation, ribosomal structure and biogenesis",P9WH63,Op445
Rv0683,rpsG,NC_000962.3,,781934,782404,+,30S ribosomal protein S7,"Translation, ribosomal structure and biogenesis",P9WH29,Op445
Rv0684,fusA1,NC_000962.3,,782485,784590,+,elongation factor G,"Translation, ribosomal structure and biogenesis",P9WNM7,Op446
Rv0685,tuf,NC_000962.3,,784821,786011,+,elongation factor Tu,"Translation, ribosomal structure and biogenesis",P9WNN1,Op447
Rv0686,Rv0686,NC_000962.3,,786149,786946,+,membrane protein,No COG annotation,I6XVZ6,Op448
Rv0687,Rv0687,NC_000962.3,,787099,787926,+,NAD-dependent oxidoreductase,Lipid transport and metabolism,P9WGS7,Op449
Rv0688,Rv0688,NC_000962.3,,787940,789160,+,ferredoxin reductase,Function unknown,P95034,Op449
Rv0689c,Rv0689c,NC_000962.3,,789157,789411,-,hypothetical protein,Amino acid transport and metabolism,I6WZ39,Op450
Rv0690c,Rv0690c,NC_000962.3,,790024,791073,-,hypothetical protein,Function unknown,I6Y4G1,Op451
Rv0691c,Rv0691c,NC_000962.3,,791070,791666,-,mycofactocin biosynthesis transcriptional regulator MftR,Transcription,P9WMB7,Op451
Rv0691A,Rv0691A,NC_000962.3,,791757,791846,+,mycofactocin precursor,No COG annotation,UPI000169A3F1,Op452
Rv0692,Rv0692,NC_000962.3,,791831,792160,+,mycofactocin system protein MftB,Function unknown,P95038,Op452
Rv0693,Rv0693,NC_000962.3,,792157,793332,+,mycofactocin radical SAM maturase MftC,Energy production and conversion,P9WJ79,Op452
Rv0694,Rv0694,NC_000962.3,,793335,794525,+,mycofactocin system heme/flavin oxidoreductase MftD,Energy production and conversion,P9WND7,Op452
Rv0695,Rv0695,NC_000962.3,,794715,795470,+,mycofactocin system creatinine amidohydrolase family protein MftE,Function unknown,P9WP59,Op453
Rv0696,Rv0696,NC_000962.3,,795519,796931,+,mycofactocin biosynthesis glycosyltransferase MftF,Cell wall/membrane/envelope biogenesis,P9WMX1,Op454
Rv0697,Rv0697,NC_000962.3,,796933,798372,+,dehydrogenase,Amino acid transport and metabolism,I6Y8H4,Op454
Rv0698,Rv0698,NC_000962.3,,798833,799444,+,hypothetical protein,No COG annotation,P95044,Op455
Rv0699,Rv0699,NC_000962.3,,799629,799850,+,hypothetical protein,No COG annotation,P95046,Op456
Rv0700,rpsJ,NC_000962.3,,800487,800792,+,30S ribosomal protein S10,"Translation, ribosomal structure and biogenesis",P9WH67,Op457
Rv0701,rplC,NC_000962.3,,800809,801462,+,50S ribosomal protein L3,"Translation, ribosomal structure and biogenesis",P9WH87,Op457
Rv0702,rplD,NC_000962.3,,801462,802133,+,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",P9WH85,Op457
Rv0703,rplW,NC_000962.3,,802133,802435,+,50S ribosomal protein L23,"Translation, ribosomal structure and biogenesis",P9WHB9,Op457
Rv0704,rplB,NC_000962.3,,802528,803370,+,50S ribosomal protein L2,"Translation, ribosomal structure and biogenesis",P9WHA5,Op458
Rv0705,rpsS,NC_000962.3,,803411,803692,+,30S ribosomal protein S19,"Translation, ribosomal structure and biogenesis",P9WH45,Op458
Rv0706,rplV,NC_000962.3,,803689,804282,+,50S ribosomal protein L22,"Translation, ribosomal structure and biogenesis",P9WHC1,Op458
Rv0707,rpsC,NC_000962.3,,804282,805106,+,30S ribosomal protein S3,"Translation, ribosomal structure and biogenesis",P9WH37,Op458
Rv0708,rplP,NC_000962.3,,805110,805526,+,50S ribosomal protein L16,"Translation, ribosomal structure and biogenesis",P9WHD5,Op458
Rv0709,rpmC,NC_000962.3,,805526,805759,+,50S ribosomal protein L29,"Translation, ribosomal structure and biogenesis",P9WHA7,Op458
Rv0710,rpsQ,NC_000962.3,,805756,806166,+,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis",P9WH51,Op458
Rv0711,atsA,NC_000962.3,,806335,808698,+,arylsulfatase AtsA,Inorganic ion transport and metabolism,P95059,Op459
Rv0712,Rv0712,NC_000962.3,,808746,809645,+,hypothetical protein,Function unknown,I6Y8I5,Op460
Rv0713,Rv0713,NC_000962.3,,809946,810887,+,transmembrane protein,Function unknown,I6WZ58,Op461
Rv0714,rplN,NC_000962.3,,811373,811741,+,50S ribosomal protein L14,"Translation, ribosomal structure and biogenesis",P9WHD9,Op462
Rv0715,rplX,NC_000962.3,,811742,812059,+,50S ribosomal protein L24,"Translation, ribosomal structure and biogenesis",P9WHB7,Op462
Rv0716,rplE,NC_000962.3,,812059,812622,+,50S ribosomal protein L5,"Translation, ribosomal structure and biogenesis",P9WH83,Op462
Rv0717,rpsN1,NC_000962.3,,812627,812812,+,30S ribosomal protein S14,"Translation, ribosomal structure and biogenesis",P9WH57,Op462
Rv0718,rpsH,NC_000962.3,,812976,813374,+,30S ribosomal protein S8,"Translation, ribosomal structure and biogenesis",P9WH27,Op463
Rv0719,rplF,NC_000962.3,,813398,813937,+,50S ribosomal protein L6,"Translation, ribosomal structure and biogenesis",P9WH81,Op463
Rv0720,rplR,NC_000962.3,,813940,814308,+,50S ribosomal protein L18,"Translation, ribosomal structure and biogenesis",P9WHD1,Op463
Rv0721,rpsE,NC_000962.3,,814328,814990,+,30S ribosomal protein S5,"Translation, ribosomal structure and biogenesis",P9WH33,Op463
Rv0722,rpmD,NC_000962.3,,814993,815190,+,50S ribosomal protein L30,"Translation, ribosomal structure and biogenesis",P9WHA3,Op463
Rv0723,rplO,NC_000962.3,,815190,815630,+,50S ribosomal protein L15,"Translation, ribosomal structure and biogenesis",P9WHD7,Op463
Rv0724,sppA,NC_000962.3,,815663,817534,+,protease IV SppA,"Post-translational modification, protein turnover,and chaperones",P95072,Op463
Rv0725c,Rv0725c,NC_000962.3,,817539,818444,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",P95073,Op464
Rv0726c,Rv0726c,NC_000962.3,,818537,819640,-,S-adenosylmethionine-dependent methyltransferase,Coenzyme transport and metabolism,P9WFI7,Op465
Rv0727c,fucA,NC_000962.3,,819843,820499,-,L-fuculose phosphate aldolase FucA,Carbohydrate transport and metabolism,P95075,Op466
Rv0728c,serA2,NC_000962.3,,820496,821476,-,D-3-phosphoglycerate dehydrogenase SerA,Amino acid transport and metabolism,I6WZ71,Op466
Rv0729,xylB,NC_000962.3,,821507,822853,+,D-xylulose kinase XylB,Carbohydrate transport and metabolism,I6Y4K0,Op467
Rv0730,Rv0730,NC_000962.3,,822866,823594,+,GCN5-like N-acetyltransferase,"Replication, recombination and repair",I6XW38,Op467
Rv0731c,Rv0731c,NC_000962.3,,823683,824639,-,S-adenosylmethionine-dependent methyltransferase,Coenzyme transport and metabolism,P9WFI5,Op468
Rv0732,secY,NC_000962.3,,824800,826125,+,preprotein translocase SecY,"Intracellular trafficking, secretion, and vesicular transport",P9WGN3,Op469
Rv0733,adk,NC_000962.3,,826122,826667,+,adenylate kinase,Nucleotide transport and metabolism,P9WKF5,Op469
Rv0734,mapA,NC_000962.3,,826670,827470,+,methionine aminopeptidase,Amino acid transport and metabolism,P9WK21,Op469
Rv0735,sigL,NC_000962.3,,827543,828076,+,ECF RNA polymerase sigma factor SigL,Transcription,P9WGH5,Op470
Rv0736,rslA,NC_000962.3,,828140,828892,+,anti-sigma-L factor RslA,Transcription,P9WJ67,Op471
Rv0737,Rv0737,NC_000962.3,,829207,829704,+,transcriptional regulator,Transcription,I6Y8K3,Op472
Rv0738,Rv0738,NC_000962.3,,830062,830610,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",P9WKS3,Op473
Rv0739,Rv0739,NC_000962.3,,830855,831661,+,hypothetical protein,No COG annotation,P9WKS1,Op474
Rv0740,Rv0740,NC_000962.3,,831776,832303,+,hypothetical protein,No COG annotation,O53803,Op475
Rv0742,Rv0742,NC_000962.3,,832981,833508,+,hypothetical protein,Lipid transport and metabolism,I6Y8K5,Op476
Rv0743c,Rv0743c,NC_000962.3,,833886,834443,-,hypothetical protein,No COG annotation,I6WZ83,Op477
Rv0744c,Rv0744c,NC_000962.3,,834440,834946,-,transcriptional regulator,Transcription,O53807,Op477
Rv0745,Rv0745,NC_000962.3,,835154,835681,+,hypothetical protein,"Replication, recombination and repair",I6X9N8,Op478
Rv0746,PE_PGRS9,NC_000962.3,,835701,838052,+,PE-PGRS family protein PE_PGRS9,No COG annotation,Q79FW8,Op478
Rv0747,PE_PGRS10,NC_000962.3,,838451,840856,+,PE-PGRS family protein PE_PGRS10,No COG annotation,P9WIG1,Op479
Rv0748,vapB31,NC_000962.3,,840947,841204,+,antitoxin VapB31,No COG annotation,O53811,Op480
Rv0749,vapC31,NC_000962.3,,841228,841656,+,ribonuclease VapC31,Function unknown,P9WF75,Op480
Rv0749A,Rv0749A,NC_000962.3,,841737,841874,-,hypothetical protein,"Replication, recombination and repair",I6X9Q1,Op481
Rv0750,Rv0750,NC_000962.3,,842033,842278,+,hypothetical protein,No COG annotation,O53813,Op482
Rv0751c,mmsB,NC_000962.3,,842347,843231,-,3-hydroxyisobutyrate dehydrogenase,Lipid transport and metabolism,P9WNY5,Op483
Rv0752c,fadE9,NC_000962.3,,843242,844414,-,acyl-CoA dehydrogenase FadE9,Lipid transport and metabolism,I6Y4R2,Op483
Rv0753c,mmsA,NC_000962.3,,844421,845953,-,methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,O53816,Op483
Rv0754,PE_PGRS11,NC_000962.3,,846159,847913,+,PE-PGRS family protein PE_PGRS11,Carbohydrate transport and metabolism,Q79FW5,Op484
Rv0755c,PPE12,NC_000962.3,,848103,850040,-,PPE family protein PPE12,Cell motility,P9WI37,Op485
Rv0756c,Rv0756c,NC_000962.3,,850741,851466,-,hypothetical protein,No COG annotation,P71813,Op486
Rv0757,phoP,NC_000962.3,,851608,852351,+,two component system response transcriptional positive regulator PhoP,Transcription,P71814,Op487
Rv0758,phoR,NC_000962.3,,852396,853853,+,two component system response sensor kinase PhoR,Signal transduction mechanisms,P71815,Op488
Rv0759c,Rv0759c,NC_000962.3,,853825,854157,-,hypothetical protein,Nucleotide transport and metabolism,P9WML3,Op489
Rv0760c,Rv0760c,NC_000962.3,,854267,854686,-,hypothetical protein,Function unknown,I6WZD7,Op490
Rv0761c,adhB,NC_000962.3,,854699,855826,-,alcohol dehydrogenase B,Energy production and conversion,P9WQC7,Op490
Rv0762c,Rv0762c,NC_000962.3,,855925,856470,-,hypothetical protein,No COG annotation,I6XW93,Op491
Rv0763c,Rv0763c,NC_000962.3,,856473,856679,-,ferredoxin,Energy production and conversion,P71820,Op491
Rv0764c,cyp51,NC_000962.3,,856682,858037,-,lanosterol 14-alpha demethylase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WPP9,Op491
Rv0765c,Rv0765c,NC_000962.3,,858037,858864,-,oxidoreductase,Function unknown,I6WZD9,Op491
Rv0766c,cyp123,NC_000962.3,,858864,860072,-,cytochrome P450 Cyp123,Energy production and conversion,P9WPP5,Op491
Rv0767c,Rv0767c,NC_000962.3,,860069,860710,-,HTH-type transcriptional regulator,Transcription,P9WMD7,Op491
Rv0768,aldA,NC_000962.3,,860912,862381,+,aldehyde dehydrogenase AldA,Energy production and conversion,I6X9R9,Op492
Rv0769,Rv0769,NC_000962.3,,862412,863158,+,oxidoreductase,Lipid transport and metabolism,P9WGQ9,Op492
Rv0770,Rv0770,NC_000962.3,,863256,864143,+,oxidoreductase,Lipid transport and metabolism,P9WNY3,Op493
Rv0771,Rv0771,NC_000962.3,,864140,864574,+,4-carboxymuconolactone decarboxylase,Function unknown,I6Y4S7,Op493
Rv0772,purD,NC_000962.3,,864586,865854,+,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,P9WHM9,Op493
Rv0773c,ggtA,NC_000962.3,,865851,867389,-,bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase,Amino acid transport and metabolism,I6X9S5,Op494
Rv0774c,Rv0774c,NC_000962.3,,867440,868351,-,hypothetical protein,Function unknown,I6Y8R4,Op495
Rv0775,Rv0775,NC_000962.3,,868407,869030,+,hypothetical protein,Transcription,P71830,Op496
Rv0776c,Rv0776c,NC_000962.3,,868984,869763,-,hypothetical protein,Function unknown,I6Y4S9,Op497
Rv0777,purB,NC_000962.3,,870008,871426,+,adenylosuccinate lyase PurB,Nucleotide transport and metabolism,I6XWA1,Op498
Rv0778,cyp126,NC_000962.3,,871431,872675,+,cytochrome P450 Cyp126,"Secondary metabolites biosynthesis, transport, and catabolism",P9WPN9,Op498
Rv0779c,Rv0779c,NC_000962.3,,872672,873292,-,transmembrane protein,No COG annotation,P71833,Op499
Rv0780,purC,NC_000962.3,,873343,874236,+,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,P9WHN1,Op500
Rv0783c,emrB,NC_000962.3,,876818,878440,-,multidrug resistance protein EmrB,"Intracellular trafficking, secretion, and vesicular transport",P9WG89,Op501
Rv0784,Rv0784,NC_000962.3,,878638,879324,+,hypothetical protein,Function unknown,P71837,Op502
Rv0785,Rv0785,NC_000962.3,,879340,881040,+,KsdD-like steroid dehydrogenase,Function unknown,P71838,Op502
Rv0786c,Rv0786c,NC_000962.3,,881075,881713,-,hypothetical protein,Function unknown,UPI0000164FB7,Op503
Rv0787,Rv0787,NC_000962.3,,881459,882418,+,hypothetical protein,No COG annotation,P71840,Op504
Rv0787A,Rv0787A,NC_000962.3,,882524,882763,+,hypothetical protein,Nucleotide transport and metabolism,I6Y8S6,Op505
Rv0788,purQ,NC_000962.3,,882760,883434,+,phosphoribosylformylglycinamidine synthase,Nucleotide transport and metabolism,P9WHL5,Op505
Rv0789c,Rv0789c,NC_000962.3,,883451,884050,-,hypothetical protein,No COG annotation,I6Y4U0,Op506
Rv0790c,Rv0790c,NC_000962.3,,884072,884800,-,hypothetical protein,Amino acid transport and metabolism,I6XWA9,Op506
Rv0791c,Rv0791c,NC_000962.3,,884797,885840,-,hypothetical protein,Energy production and conversion,I6X9T8,Op506
Rv0792c,Rv0792c,NC_000962.3,,885837,886646,-,transcriptional regulator,Transcription,O86331,Op506
Rv0793,Rv0793,NC_000962.3,,886719,887024,+,monooxygenase,Function unknown,O86332,Op507
Rv0794c,Rv0794c,NC_000962.3,,887137,888636,-,oxidoreductase,Energy production and conversion,I6Y4U4,Op508
Rv0797,Rv0797,NC_000962.3,,890388,891482,+,insertion sequence element IS1547 transposase,"Replication, recombination and repair",O07182,Op509
Rv0798c,cfp29,NC_000962.3,,891472,892269,-,hypothetical protein,Function unknown,I6WZG6,Op510
Rv0799c,Rv0799c,NC_000962.3,,892266,893273,-,hypothetical protein,Inorganic ion transport and metabolism,I6Y4U9,Op510
Rv0800,pepC,NC_000962.3,,893318,894619,+,M18 family aminopeptidase,Amino acid transport and metabolism,P9WHT1,Op511
Rv0801,Rv0801,NC_000962.3,,894631,894978,+,hypothetical protein,Amino acid transport and metabolism,O06633,Op511
Rv0802c,Rv0802c,NC_000962.3,,894972,895628,-,succinyl-CoA transferase,"Translation, ribosomal structure and biogenesis",P9WQG7,Op512
Rv0803,purL,NC_000962.3,,895820,898084,+,phosphoribosylformylglycinamidine synthase 2,Nucleotide transport and metabolism,P9WHL7,Op513
Rv0804,Rv0804,NC_000962.3,,898081,898710,+,hypothetical protein,Function unknown,I6Y4V2,Op513
Rv0805,Rv0805,NC_000962.3,,898831,899787,+,3'%2C5'-cyclic adenosine monophosphate phosphodiesterase CpdA,Nucleotide transport and metabolism,P9WP65,Op514
Rv0806c,cpsY,NC_000962.3,,899732,901330,-,exopolysaccharide phosphotransferase CpsY,Cell wall/membrane/envelope biogenesis,P9WGD1,Op515
Rv0807,Rv0807,NC_000962.3,,901635,902024,+,hypothetical protein,Lipid transport and metabolism,I6Y8U3,Op516
Rv0808,purF,NC_000962.3,,902111,903694,+,amidophosphoribosyltransferase,Nucleotide transport and metabolism,P9WHQ7,Op517
Rv0809,purM,NC_000962.3,,903725,904819,+,phosphoribosylformylglycinamidine cyclo-ligase PurM,Nucleotide transport and metabolism,I6Y4V6,Op517
Rv0810c,Rv0810c,NC_000962.3,,904905,905087,-,hypothetical protein,Function unknown,I6XWB9,Op518
Rv0811c,Rv0811c,NC_000962.3,,905234,906340,-,hypothetical protein,Amino acid transport and metabolism,I6X9V3,Op519
Rv0812,Rv0812,NC_000962.3,,906423,907292,+,4-amino-4-deoxychorismate lyase,Amino acid transport and metabolism,Q79FW0,Op520
Rv0813c,Rv0813c,NC_000962.3,,907338,908018,-,hypothetical protein,Function unknown,P9WFG9,Op521
Rv0814c,Rv0814c,NC_000962.3,,908181,908483,-,hypothetical protein,Function unknown,P0CG95,Op522
